,day,month,month_no,year,Gas supply by Russia
0,1,May,5,2022,101.95
1,2,May,5,2022,102.35
2,3,May,5,2022,103.7
3,4,May,5,2022,103.35
4,5,May,5,2022,105.1
5,6,May,5,2022,106.2
6,7,May,5,2022,106.2
7,8,May,5,2022,107.65
8,9,May,5,2022,105.15
9,10,May,5,2022,108.15
10,11,May,5,2022,108.35
11,12,May,5,2022,108.8
12,13,May,5,2022,109.2
13,14,May,5,2022,104.85
14,15,May,5,2022,103.7
15,16,May,5,2022,103.65
16,17,May,5,2022,104.3
17,18,May,5,2022,102.35
18,19,May,5,2022,104.85
19,20,May,5,2022,104.75
20,21,May,5,2022,106.6
21,22,May,5,2022,108.6
22,23,May,5,2022,107.7
23,24,May,5,2022,108.4
24,25,May,5,2022,110.3
25,26,May,5,2022,110.3
26,27,May,5,2022,110.05
27,28,May,5,2022,109.3
28,29,May,5,2022,109.3
29,30,May,5,2022,108.6
30,31,May,5,2022,109.85
31,1,June,6,2022,107.75
32,2,June,6,2022,105.45
33,3,June,6,2022,105.85
34,4,June,6,2022,105.05
35,5,June,6,2022,101.25
36,6,June,6,2022,100.95
37,7,June,6,2022,104.55
38,8,June,6,2022,99.6
39,9,June,6,2022,100.7
40,10,June,6,2022,104.95
41,11,June,6,2022,110.55
42,12,June,6,2022,108.95
43,13,June,6,2022,109.15
44,14,June,6,2022,110.5
45,15,June,6,2022,109.95
46,16,June,6,2022,110.6
47,17,June,6,2022,111.6
48,18,June,6,2022,110.85
49,19,June,6,2022,110.2
50,20,June,6,2022,108.15
51,21,June,6,2022,106.3
52,22,June,6,2022,84.55
53,23,June,6,2022,85.6
54,24,June,6,2022,88.4
55,25,June,6,2022,90.25
56,26,June,6,2022,90.75
57,27,June,6,2022,90.25
58,28,June,6,2022,95.6
59,29,June,6,2022,107.35
60,30,June,6,2022,106.65
61,1,July,7,2022,109.55
62,2,July,7,2022,108.9
63,3,July,7,2022,108.7
64,4,July,7,2022,108.0
65,5,July,7,2022,107.45
66,6,July,7,2022,107.55
67,7,July,7,2022,108.15
68,8,July,7,2022,108.0
69,9,July,7,2022,108.45
70,10,July,7,2022,102.8
71,11,July,7,2022,102.55
72,12,July,7,2022,90.65
73,13,July,7,2022,26.45
74,14,July,7,2022,26.35
75,15,July,7,2022,26.35
76,16,July,7,2022,26.6
77,17,July,7,2022,26.55
78,18,July,7,2022,26.35
79,19,July,7,2022,27.8
80,20,July,7,2022,27.8
81,21,July,7,2022,27.85
82,22,July,7,2022,32.2
83,23,July,7,2022,105.9
84,24,July,7,2022,110.4
85,25,July,7,2022,109.65
86,26,July,7,2022,109.05
87,27,July,7,2022,107.7
88,28,July,7,2022,110.55
89,29,July,7,2022,109.55
90,30,July,7,2022,110.55
91,31,July,7,2022,107.8
92,1,August,8,2022,106.6
93,2,August,8,2022,104.9
94,3,August,8,2022,103.1
95,4,August,8,2022,103.0
96,5,August,8,2022,103.15
97,6,August,8,2022,105.8
98,7,August,8,2022,106.05
99,8,August,8,2022,105.85
100,9,August,8,2022,108.15
101,10,August,8,2022,108.15
102,11,August,8,2022,108.05
103,12,August,8,2022,106.9
104,13,August,8,2022,105.95
105,14,August,8,2022,107.0
106,15,August,8,2022,106.85
107,16,August,8,2022,106.65
108,17,August,8,2022,106.9
109,18,August,8,2022,107.35
110,19,August,8,2022,107.8
111,20,August,8,2022,109.0
112,21,August,8,2022,109.05
113,22,August,8,2022,108.5
114,23,August,8,2022,111.15
115,24,August,8,2022,111.55
116,25,August,8,2022,112.25
117,26,August,8,2022,110.9
118,27,August,8,2022,111.25
119,28,August,8,2022,111.5
120,29,August,8,2022,111.65
121,30,August,8,2022,111.85
122,31,August,8,2022,111.1
123,1,September,9,2022,105.2
124,2,September,9,2022,104.7
125,3,September,9,2022,103.9
126,4,September,9,2022,103.55
