"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"18. Nov. 2021","95,165","93,600","95,300","91,365","0,04K","0,17%"
"17. Nov. 2021","95,005","97,990","99,850","95,085","0,05K","0,87%"
"16. Nov. 2021","94,190","84,380","91,490","84,380","0,06K","17,82%"
"15. Nov. 2021","79,945","78,295","82,095","78,285","0,05K","5,64%"
"12. Nov. 2021","75,675","77,770","77,770","74,060","0,03K","1,18%"
"11. Nov. 2021","74,790","72,000","75,100","72,000","0,01K","6,65%"
"10. Nov. 2021","70,125","66,710","70,370","64,505","0,06K","-3,39%"
"09. Nov. 2021","72,587","76,500","76,900","74,005","0,03K","-8,20%"
"08. Nov. 2021","79,074","80,770","80,770","77,005","0,05K","6,82%"
"05. Nov. 2021","74,027","73,160","74,640","73,030","0,08K","0,89%"
"04. Nov. 2021","73,375","77,525","77,525","72,815","0,06K","-4,14%"
"03. Nov. 2021","76,542","73,520","80,045","73,520","0,07K","13,22%"
"02. Nov. 2021","67,605","65,175","70,665","62,840","0,06K","3,03%"
"01. Nov. 2021","65,619","63,590","65,750","63,590","0,01K","1,16%"
"29. Okt. 2021","64,865","72,620","72,620","70,000","0,02K","-15,79%"
"28. Okt. 2021","77,032","78,000","80,600","78,000","0,05K","-11,27%"
"27. Okt. 2021","86,819","86,300","86,950","86,000","0,05K","-1,89%"
"26. Okt. 2021","88,493","90,150","90,200","87,800","0,06K","-0,17%"
"25. Okt. 2021","88,640","91,000","91,000","88,000","0,06K","1,49%"
"22. Okt. 2021","87,340","88,610","88,700","87,000","0,09K","-1,27%"
"21. Okt. 2021","88,465","90,645","90,660","87,815","0,04K","-5,33%"
"20. Okt. 2021","93,450","94,390","94,390","92,750","0,02K","3,91%"
"19. Okt. 2021","89,930","92,150","93,935","89,425","0,06K","-4,27%"
"18. Okt. 2021","93,940","89,350","100,400","89,350","0,04K","0,31%"
"15. Okt. 2021","93,650","104,000","104,000","92,570","0,15K","-8,34%"
"14. Okt. 2021","102,170","102,150","102,250","96,730","0,08K","9,14%"
"13. Okt. 2021","93,615","91,375","94,610","90,290","0,24K","9,24%"
"12. Okt. 2021","85,700","86,310","87,395","85,000","0,60K","0,57%"
"11. Okt. 2021","85,215","92,000","92,135","83,500","0,23K","-2,73%"
"08. Okt. 2021","87,610","95,000","95,670","83,700","0,15K","-9,29%"
"07. Okt. 2021","96,580","89,260","109,470","89,260","0,08K","-10,73%"
"06. Okt. 2021","108,190","131,030","132,930","101,560","0,18K","-6,75%"
"05. Okt. 2021","116,020","95,000","105,610","83,620","0,17K","20,04%"
"04. Okt. 2021","96,650","96,400","99,760","94,230","0,17K","3,23%"
"01. Okt. 2021","93,625","94,665","97,590","93,105","0,20K","-4,24%"
"30. Sept. 2021","97,775","94,920","96,300","93,180","0,05K","12,89%"
"29. Sept. 2021","86,609","86,500","86,500","86,500","0,08K","10,25%"
"28. Sept. 2021","78,560","83,000","84,150","78,950","0,08K","2,69%"
"27. Sept. 2021","76,505","75,000","76,970","75,000","0,28K","8,92%"
"24. Sept. 2021","70,240","68,300","70,890","68,250","0,35K","0,80%"
"23. Sept. 2021","69,685","68,000","70,710","68,000","0,61K","-2,80%"
"22. Sept. 2021","71,690","70,100","72,660","69,920","0,71K","-2,83%"
"21. Sept. 2021","73,780","72,525","75,105","71,250","0,36K","-2,04%"
"20. Sept. 2021","75,315","65,725","75,380","69,805","0,35K","15,69%"
"17. Sept. 2021","65,103","66,750","66,775","62,850","0,38K","2,93%"
"16. Sept. 2021","63,250","68,535","68,535","60,760","0,34K","-10,54%"
"15. Sept. 2021","70,705","71,925","77,275","69,725","0,62K","7,50%"
"14. Sept. 2021","65,770","64,550","66,390","64,550","1,13K","7,33%"
"13. Sept. 2021","61,280","59,350","62,250","59,350","1,02K","5,80%"
"10. Sept. 2021","57,920","56,000","57,990","55,770","1,18K","2,37%"
"09. Sept. 2021","56,580","55,600","57,230","54,730","1,06K","2,33%"
"08. Sept. 2021","55,290","54,175","55,575","53,560","1,43K","2,56%"
"07. Sept. 2021","53,910","53,080","54,190","51,280","2,16K","4,66%"
"03. Sept. 2021","51,510","51,800","52,550","51,290","1,29K","-0,77%"
"02. Sept. 2021","51,910","50,980","52,590","49,720","1,32K","3,34%"
"01. Sept. 2021","50,230","52,250","52,900","49,600","2,05K","-0,22%"
"31. Aug. 2021","50,340","48,580","50,470","48,580","0,20K","1,33%"
"30. Aug. 2021","49,680","48,850","49,430","48,700","0,09K","3,91%"
"27. Aug. 2021","47,810","47,810","47,810","47,810","","4,41%"
"26. Aug. 2021","45,790","44,220","45,840","44,200","0,32K","1,12%"
"25. Aug. 2021","45,285","45,830","46,130","44,775","1,00K","0,92%"
"24. Aug. 2021","44,870","43,620","45,070","43,620","0,16K","7,65%"
"23. Aug. 2021","41,680","42,275","43,535","40,610","0,59K","-0,62%"
"20. Aug. 2021","41,940","41,570","42,620","40,900","0,52K","3,81%"
"19. Aug. 2021","40,400","44,380","44,480","40,100","0,80K","-10,97%"
"18. Aug. 2021","45,380","46,400","47,520","42,800","0,63K","-3,34%"
"17. Aug. 2021","46,950","46,850","47,980","46,670","0,52K","-2,17%"
"16. Aug. 2021","47,990","46,250","48,220","46,250","0,42K","7,53%"
"13. Aug. 2021","44,630","44,410","45,400","44,380","0,76K","-2,70%"
"12. Aug. 2021","45,870","46,150","46,525","45,325","0,77K","-0,25%"
"11. Aug. 2021","45,985","44,975","46,525","44,575","0,52K","2,97%"
"10. Aug. 2021","44,660","44,390","45,020","44,220","0,89K","4,38%"
"09. Aug. 2021","42,785","43,095","43,570","42,450","1,22K","-0,78%"
"06. Aug. 2021","43,120","43,900","44,570","42,670","1,14K","0,51%"
"05. Aug. 2021","42,900","41,570","43,200","41,195","1,26K","1,51%"
"04. Aug. 2021","42,260","41,540","42,260","41,540","0,78K","2,46%"
"03. Aug. 2021","41,245","41,590","42,180","41,120","0,93K","-2,16%"
"02. Aug. 2021","42,155","42,100","42,690","41,815","1,36K","3,44%"
"30. Juli 2021","40,755","40,510","40,855","39,420","0,39K","-0,96%"
"29. Juli 2021","41,150","40,350","40,880","40,050","0,72K","3,65%"
"28. Juli 2021","39,700","38,470","39,720","38,410","0,51K","5,61%"
"27. Juli 2021","37,590","37,700","37,700","37,260","0,56K","1,84%"
"26. Juli 2021","36,910","36,140","37,020","35,910","0,17K","3,91%"
"23. Juli 2021","35,520","35,810","35,940","35,100","0,53K","-1,69%"
"22. Juli 2021","36,130","35,675","36,435","35,650","0,59K","0,50%"
"21. Juli 2021","35,950","35,500","36,200","35,460","0,37K","2,23%"
"20. Juli 2021","35,165","35,095","35,315","34,625","0,52K","-1,36%"
"19. Juli 2021","35,650","36,450","36,810","35,620","0,42K","2,32%"
"16. Juli 2021","34,840","35,100","35,525","34,600","0,46K","3,08%"
"15. Juli 2021","33,800","34,200","34,600","33,610","0,46K","-2,80%"
"14. Juli 2021","34,775","34,835","35,175","33,405","0,62K","-1,96%"
"13. Juli 2021","35,470","34,300","35,840","34,150","0,94K","2,37%"
"12. Juli 2021","34,650","35,235","36,150","34,395","1,14K","-5,41%"
"09. Juli 2021","36,632","35,840","36,850","35,565","0,66K","9,97%"
"08. Juli 2021","33,310","32,290","33,875","31,470","1,19K","3,00%"
"07. Juli 2021","32,340","34,315","36,230","32,345","1,15K","-5,18%"
"06. Juli 2021","34,105","37,250","38,365","33,080","1,43K","-4,81%"
"02. Juli 2021","35,830","34,920","36,870","34,920","1,21K","-0,89%"
"01. Juli 2021","36,150","35,500","36,950","35,450","0,63K","4,42%"
"30. Juni 2021","34,620","33,880","34,920","33,740","1,46K","3,39%"
"29. Juni 2021","33,486","32,855","33,825","32,855","0,30K","3,70%"
"28. Juni 2021","32,290","32,100","32,380","31,750","0,79K","-0,28%"
"25. Juni 2021","32,380","31,950","32,400","31,950","0,55K","1,12%"
"24. Juni 2021","32,020","31,550","32,020","31,410","0,95K","1,49%"
"23. Juni 2021","31,550","31,350","31,680","30,570","0,55K","2,65%"
"22. Juni 2021","30,735","30,050","30,835","29,990","0,59K","3,78%"
"21. Juni 2021","29,615","29,970","30,200","29,305","0,70K","0,70%"
"18. Juni 2021","29,410","28,930","29,610","28,800","0,60K","3,89%"
"17. Juni 2021","28,310","27,800","28,670","27,700","1,08K","1,00%"
"16. Juni 2021","28,030","28,000","28,770","27,740","1,30K","-0,37%"
"15. Juni 2021","28,135","28,300","28,705","27,910","1,01K","-2,34%"
"14. Juni 2021","28,810","29,100","29,320","28,570","0,86K","3,47%"
"11. Juni 2021","27,845","28,500","28,595","27,700","0,46K","-2,91%"
"10. Juni 2021","28,680","28,270","28,730","27,700","0,68K","1,34%"
"09. Juni 2021","28,300","27,900","28,430","27,800","0,69K","1,80%"
"08. Juni 2021","27,800","27,480","27,850","27,350","0,64K","4,95%"
"07. Juni 2021","26,490","25,900","26,660","25,900","0,36K","2,67%"
"04. Juni 2021","25,800","25,750","26,020","25,450","0,41K","0,39%"
"03. Juni 2021","25,700","26,250","26,250","25,680","0,47K","-0,10%"
"02. Juni 2021","25,725","25,700","26,100","25,280","1,03K","-0,96%"
"01. Juni 2021","25,975","25,180","26,230","25,180","0,77K","4,19%"
"28. Mai 2021","24,930","25,100","25,200","24,620","0,40K","-1,07%"
"27. Mai 2021","25,200","25,640","26,100","25,270","0,56K","-4,65%"
"26. Mai 2021","26,430","26,770","26,910","26,400","0,71K","0,92%"
"25. Mai 2021","26,190","25,250","26,150","25,250","0,86K","5,78%"
"24. Mai 2021","24,760","24,475","24,850","24,455","0,40K","-0,14%"
"21. Mai 2021","24,795","25,300","25,550","24,600","0,98K","0,47%"
"20. Mai 2021","24,680","23,100","24,570","23,050","0,94K","8,91%"
"19. Mai 2021","22,660","24,050","24,120","22,570","1,00K","-8,67%"
"18. Mai 2021","24,810","25,400","25,770","24,640","1,31K","-5,70%"
"17. Mai 2021","26,310","26,100","26,630","25,700","1,23K","-1,94%"
"14. Mai 2021","26,830","26,350","26,875","26,350","0,67K","2,21%"
"13. Mai 2021","26,250","25,750","26,300","24,980","1,37K","-0,64%"
"12. Mai 2021","26,420","26,440","26,450","25,800","1,12K","2,38%"
"11. Mai 2021","25,805","24,800","25,995","24,750","0,97K","2,44%"
"10. Mai 2021","25,190","25,175","25,200","24,825","1,09K","5,22%"
"07. Mai 2021","23,940","24,225","24,225","23,875","0,69K","-1,60%"
"06. Mai 2021","24,330","24,130","24,950","24,130","1,08K","1,54%"
"05. Mai 2021","23,960","23,400","23,960","23,320","0,63K","3,95%"
"04. Mai 2021","23,050","24,105","24,105","22,995","0,72K","-3,23%"
"03. Mai 2021","23,820","23,820","23,820","23,820","","2,30%"
"30. Apr. 2021","23,285","22,965","23,320","22,730","0,77K","3,49%"
"29. Apr. 2021","22,500","21,665","22,575","21,575","0,47K","4,38%"
"28. Apr. 2021","21,555","21,790","22,020","21,550","0,71K","0,70%"
"27. Apr. 2021","21,405","19,930","21,500","19,750","0,74K","7,03%"
"26. Apr. 2021","20,000","20,200","20,460","19,975","0,95K","-0,22%"
"23. Apr. 2021","20,045","20,800","20,800","19,710","0,18K","-6,20%"
"22. Apr. 2021","21,370","21,300","21,540","21,300","0,46K","1,23%"
"21. Apr. 2021","21,110","21,020","21,250","20,850","2,02K","0,19%"
"20. Apr. 2021","21,070","20,850","21,340","20,680","1,40K","0,62%"
"19. Apr. 2021","20,940","20,875","21,120","20,850","1,43K","1,95%"
"16. Apr. 2021","20,540","20,625","20,800","20,500","0,43K","1,38%"
"15. Apr. 2021","20,260","19,900","20,390","19,850","0,60K","2,95%"
"14. Apr. 2021","19,680","19,600","19,770","19,600","2,03K","0,87%"
"13. Apr. 2021","19,510","19,720","19,850","19,470","1,16K","-0,71%"
"12. Apr. 2021","19,650","19,395","19,725","19,260","1,48K","3,75%"
"09. Apr. 2021","18,940","19,350","19,360","18,900","1,18K","-0,26%"
"08. Apr. 2021","18,990","19,325","19,450","18,975","0,63K","-1,56%"
"07. Apr. 2021","19,290","19,650","19,730","19,180","0,83K","-2,48%"
"06. Apr. 2021","19,780","19,750","19,820","19,600","0,39K","3,18%"
"05. Apr. 2021","19,170","19,170","19,170","19,170","","0,00%"
"01. Apr. 2021","19,170","19,000","19,270","19,000","","0,92%"
"31. März 2021","18,995","19,050","19,170","18,700","0,48K","1,04%"
"30. März 2021","18,800","18,200","18,850","18,200","0,78K","1,90%"
"29. März 2021","18,450","18,260","18,590","18,120","0,82K","-1,34%"
"26. März 2021","18,700","18,600","18,820","18,570","1,21K","1,85%"
"25. März 2021","18,360","18,600","18,600","18,270","1,49K","-1,24%"
"24. März 2021","18,590","18,650","18,820","18,020","1,96K","1,09%"
"23. März 2021","18,390","17,850","18,400","17,620","1,76K","1,91%"
"22. März 2021","18,045","17,270","18,075","17,270","1,81K","4,52%"
"19. März 2021","17,265","17,350","17,500","17,235","1,14K","-2,79%"
"18. März 2021","17,760","18,160","18,400","17,500","0,90K","-1,17%"
"17. März 2021","17,970","17,450","18,110","17,450","0,64K","1,76%"
"16. März 2021","17,660","17,830","17,830","17,270","0,82K","-1,51%"
"15. März 2021","17,930","18,170","18,880","17,870","0,88K","-2,82%"
"12. März 2021","18,450","17,970","18,565","17,930","0,71K","1,79%"
"11. März 2021","18,125","17,475","18,155","17,475","1,18K","2,81%"
"10. März 2021","17,630","17,150","17,700","17,150","0,59K","4,13%"
"09. März 2021","16,930","16,380","16,980","16,380","0,46K","4,83%"
"08. März 2021","16,150","16,550","16,550","16,120","0,75K","-1,31%"
"05. März 2021","16,365","15,850","16,450","15,775","0,58K","2,73%"
"04. März 2021","15,930","15,590","15,975","15,575","0,53K","2,58%"
"03. März 2021","15,530","15,600","15,680","15,500","0,46K","-2,14%"
"02. März 2021","15,870","16,000","16,030","15,800","0,60K","-1,31%"
"01. März 2021","16,080","16,000","16,100","15,925","0,36K","2,45%"
"26. Feb. 2021","15,695","15,950","15,975","15,550","0,44K","-1,51%"
"25. Feb. 2021","15,935","16,400","16,400","16,065","0,42K","-2,72%"
"24. Feb. 2021","16,380","16,120","16,350","16,050","0,77K","0,80%"
"23. Feb. 2021","16,250","16,100","16,400","16,050","0,42K","1,82%"
"22. Feb. 2021","15,960","16,250","16,250","15,825","0,50K","-3,56%"
"19. Feb. 2021","16,550","17,320","17,450","16,460","0,77K","-4,50%"
"18. Feb. 2021","17,330","16,900","17,350","16,840","1,00K","4,78%"
"17. Feb. 2021","16,540","17,150","17,300","16,400","1,08K","-1,05%"
"16. Feb. 2021","16,715","16,750","16,950","16,350","1,31K","-5,14%"
"12. Feb. 2021","17,620","17,070","17,650","16,950","0,60K","1,41%"
"11. Feb. 2021","17,375","18,150","18,150","17,375","1,63K","-6,38%"
"10. Feb. 2021","18,560","18,850","19,025","18,450","0,51K","-2,57%"
"09. Feb. 2021","19,050","18,860","19,300","18,750","0,58K","-5,60%"
"08. Feb. 2021","20,180","20,380","20,380","19,600","0,48K","9,79%"
"05. Feb. 2021","18,380","18,550","18,900","18,300","1,05K","1,43%"
"04. Feb. 2021","18,120","17,850","18,350","17,750","0,80K","1,48%"
"03. Feb. 2021","17,855","17,650","17,750","17,350","0,43K","-2,16%"
"02. Feb. 2021","18,250","18,200","18,500","18,110","0,35K","0,61%"
"01. Feb. 2021","18,140","19,050","19,050","17,880","0,84K","-8,48%"
"29. Jan. 2021","19,820","20,600","20,600","19,590","0,44K","-5,21%"
"28. Jan. 2021","20,910","20,600","20,875","20,350","0,29K","6,14%"
"27. Jan. 2021","19,700","19,000","19,900","18,900","0,38K","0,97%"
"26. Jan. 2021","19,510","19,800","20,075","19,175","0,79K","-3,22%"
"25. Jan. 2021","20,160","22,150","22,150","20,050","1,05K","-6,15%"
"22. Jan. 2021","21,480","20,750","21,500","20,750","0,94K","7,05%"
"21. Jan. 2021","20,065","19,825","20,500","19,550","0,43K","-0,96%"
"20. Jan. 2021","20,260","21,400","21,600","19,930","0,68K","-0,32%"
"19. Jan. 2021","20,325","19,100","20,400","18,900","1,05K","0,62%"
"15. Jan. 2021","20,200","20,100","20,400","19,620","0,52K","-5,34%"
"14. Jan. 2021","21,340","21,250","21,250","20,320","0,34K","-0,74%"
"13. Jan. 2021","21,500","23,480","23,900","21,600","0,54K","-17,81%"
"12. Jan. 2021","26,160","23,240","26,090","23,200","0,14K","18,26%"
"11. Jan. 2021","22,120","21,350","22,540","21,200","0,46K","9,94%"
"08. Jan. 2021","20,120","20,400","20,700","19,890","0,39K","4,22%"
"07. Jan. 2021","19,305","18,275","19,420","18,275","0,18K","9,91%"
"06. Jan. 2021","17,565","17,875","18,520","17,375","0,70K","-2,42%"
"05. Jan. 2021","18,000","18,910","18,950","17,930","0,51K","-9,27%"
"04. Jan. 2021","19,840","19,450","20,300","19,450","0,80K","3,77%"
"31. Dez. 2020","19,120","19,120","19,120","19,120","","0,63%"
"30. Dez. 2020","19,000","19,150","19,275","19,025","0,18K","1,20%"
"29. Dez. 2020","18,775","19,000","19,000","19,000","0,04K","-1,96%"
"28. Dez. 2020","19,150","19,150","19,150","19,150","","8,50%"
"24. Dez. 2020","17,650","17,650","17,650","17,650","","0,86%"
"23. Dez. 2020","17,500","17,650","17,650","17,500","0,08K","-0,79%"
"22. Dez. 2020","17,640","17,200","17,750","17,180","0,21K","5,03%"
"21. Dez. 2020","16,795","16,400","16,850","16,250","0,18K","5,73%"
"18. Dez. 2020","15,885","15,750","15,975","15,690","0,19K","-0,35%"
"17. Dez. 2020","15,940","16,180","16,320","15,900","0,19K","-2,69%"
"16. Dez. 2020","16,380","17,050","17,050","16,260","0,18K","-4,91%"
"15. Dez. 2020","17,225","17,100","17,265","16,660","0,22K","3,73%"
"14. Dez. 2020","16,605","16,450","16,925","16,450","0,16K","4,04%"
"11. Dez. 2020","15,960","15,525","15,825","15,300","0,18K","2,70%"
"10. Dez. 2020","15,540","15,300","15,550","15,280","0,32K","5,50%"
"09. Dez. 2020","14,730","14,350","14,730","14,350","0,13K","1,97%"
"08. Dez. 2020","14,445","14,300","14,630","14,300","0,71K","0,59%"
"07. Dez. 2020","14,360","14,100","14,400","14,100","0,40K","-1,95%"
"04. Dez. 2020","14,645","14,550","14,660","14,465","0,21K","3,53%"
"03. Dez. 2020","14,145","14,600","14,600","14,000","0,30K","-5,10%"
"02. Dez. 2020","14,905","14,450","14,950","14,450","0,36K","-0,03%"
"01. Dez. 2020","14,910","15,475","15,475","14,775","0,61K","-1,52%"
"30. Nov. 2020","15,140","14,985","15,200","14,950","0,06K","4,56%"
"27. Nov. 2020","14,480","13,840","14,600","13,800","0,77K","3,95%"
"25. Nov. 2020","13,930","14,150","14,280","13,800","0,35K","0,22%"
"24. Nov. 2020","13,900","13,450","13,900","13,450","0,30K","2,66%"
"23. Nov. 2020","13,540","13,300","13,620","13,300","0,13K","5,00%"
"20. Nov. 2020","12,895","12,700","12,910","12,600","0,41K","-0,96%"
"19. Nov. 2020","13,020","13,475","13,475","13,000","0,34K","-4,82%"
"18. Nov. 2020","13,680","13,850","13,950","13,590","0,22K","-2,08%"
"17. Nov. 2020","13,970","14,350","14,350","13,850","0,16K","-3,59%"
"16. Nov. 2020","14,490","14,430","14,600","14,420","0,29K","1,76%"
"13. Nov. 2020","14,240","14,200","14,325","14,175","0,28K","1,71%"
"12. Nov. 2020","14,000","14,050","14,150","13,950","0,29K","-0,67%"
"11. Nov. 2020","14,095","14,050","14,350","14,050","0,29K","0,39%"
"10. Nov. 2020","14,040","13,800","14,150","13,700","0,91K","1,30%"
"09. Nov. 2020","13,860","13,780","14,130","13,550","0,55K","-0,29%"
"06. Nov. 2020","13,900","14,115","14,150","13,885","0,78K","-3,87%"
"05. Nov. 2020","14,460","14,300","14,500","14,300","0,47K","4,14%"
"04. Nov. 2020","13,885","13,725","14,105","13,575","0,36K","1,65%"
"03. Nov. 2020","13,660","13,730","13,930","13,590","0,13K","0,07%"
"02. Nov. 2020","13,650","13,520","13,710","13,520","0,11K","-2,92%"
"30. Okt. 2020","14,060","14,340","14,380","13,930","0,24K","-1,06%"
"29. Okt. 2020","14,210","14,400","14,400","14,120","0,65K","-1,86%"
"28. Okt. 2020","14,480","14,530","14,650","14,400","0,64K","-1,76%"
"27. Okt. 2020","14,740","14,700","14,850","14,380","0,26K","-0,84%"
"26. Okt. 2020","14,865","15,150","15,390","15,150","0,14K","-3,54%"
"23. Okt. 2020","15,410","15,245","15,650","15,245","0,21K","0,98%"
"22. Okt. 2020","15,260","14,820","15,340","14,800","0,37K","2,62%"
"21. Okt. 2020","14,870","14,810","14,950","14,810","0,74K","-0,13%"
"20. Okt. 2020","14,890","14,560","14,980","14,560","1,82K","1,15%"
"19. Okt. 2020","14,720","14,650","14,750","14,650","0,07K","1,52%"
"16. Okt. 2020","14,500","14,525","14,650","14,425","0,07K","1,83%"
"15. Okt. 2020","14,240","14,180","14,180","13,900","0,56K","2,67%"
"14. Okt. 2020","13,870","13,740","13,950","13,740","0,07K","1,99%"
"13. Okt. 2020","13,600","13,690","13,700","13,490","0,35K","-1,73%"
"12. Okt. 2020","13,840","13,610","13,610","13,610","0,02K","0,62%"
"09. Okt. 2020","13,755","13,730","13,870","13,705","0,06K","-1,04%"
"08. Okt. 2020","13,900","13,750","14,050","13,750","0,05K","1,39%"
"07. Okt. 2020","13,710","13,430","13,690","13,430","0,03K","3,08%"
"06. Okt. 2020","13,300","13,220","13,370","13,220","0,09K","-0,89%"
"05. Okt. 2020","13,420","13,385","13,440","13,250","0,15K","3,03%"
"02. Okt. 2020","13,025","12,875","13,130","12,815","0,57K","-1,18%"
"01. Okt. 2020","13,180","13,350","13,405","13,110","0,51K","-0,83%"
"30. Sept. 2020","13,290","13,310","13,310","13,160","0,04K","8,22%"
"29. Sept. 2020","12,280","12,400","12,640","12,270","0,25K","-0,57%"
"28. Sept. 2020","12,350","12,060","12,060","11,950","0,08K","5,87%"
"25. Sept. 2020","11,665","11,500","11,695","11,400","0,35K","0,26%"
"24. Sept. 2020","11,635","11,950","11,950","11,660","0,18K","-3,20%"
"23. Sept. 2020","12,020","11,770","12,040","11,770","0,19K","2,69%"
"22. Sept. 2020","11,705","11,330","11,795","11,260","0,13K","1,83%"
"21. Sept. 2020","11,495","11,500","11,510","11,425","0,08K","0,17%"
"18. Sept. 2020","11,475","11,105","11,380","11,105","0,05K","3,19%"
"17. Sept. 2020","11,120","11,520","11,520","11,130","0,12K","-1,77%"
"16. Sept. 2020","11,320","11,200","11,450","11,200","0,10K","3,90%"
"15. Sept. 2020","10,895","10,850","10,870","10,815","0,05K","1,73%"
"14. Sept. 2020","10,710","10,720","10,800","10,650","0,15K","2,05%"
"11. Sept. 2020","10,495","10,400","10,435","10,370","0,11K","-0,19%"
"10. Sept. 2020","10,515","10,850","10,870","10,465","0,43K","-2,00%"
"09. Sept. 2020","10,730","10,600","10,950","10,600","0,25K","-0,65%"
"08. Sept. 2020","10,800","11,400","11,400","10,790","0,44K","-7,53%"
"04. Sept. 2020","11,680","12,110","12,110","11,850","0,06K","-0,47%"
"03. Sept. 2020","11,735","11,515","11,800","11,500","0,37K","5,63%"
"02. Sept. 2020","11,110","11,400","11,400","10,990","0,12K","-1,59%"
"01. Sept. 2020","11,290","11,200","11,840","11,200","0,38K","0,44%"
"31. Aug. 2020","11,240","11,240","11,240","11,240","","0,63%"
"28. Aug. 2020","11,170","11,120","11,180","11,120","0,02K","25,93%"
"27. Aug. 2020","8,870","9,250","9,275","8,900","1,24K","-3,06%"
"26. Aug. 2020","9,150","9,340","9,340","9,290","0,04K","3,21%"
"25. Aug. 2020","8,865","8,360","8,890","8,360","0,11K","6,04%"
"24. Aug. 2020","8,360","8,120","8,370","8,050","0,44K","9,71%"
"21. Aug. 2020","7,620","7,970","7,970","7,470","0,10K","-6,50%"
"20. Aug. 2020","8,150","8,320","8,380","8,220","0,58K","-2,51%"
"19. Aug. 2020","8,360","8,810","8,850","8,230","0,05K","-2,22%"
"18. Aug. 2020","8,550","8,220","8,720","8,220","0,15K","4,52%"
"17. Aug. 2020","8,180","8,260","8,510","8,150","0,10K","2,00%"
"14. Aug. 2020","8,020","7,450","8,150","7,380","0,33K","9,71%"
"13. Aug. 2020","7,310","7,400","7,480","7,285","0,14K","1,95%"
"12. Aug. 2020","7,170","7,170","7,170","7,000","0,20K","-3,37%"
"11. Aug. 2020","7,420","7,500","7,930","7,420","0,21K","-2,24%"
"10. Aug. 2020","7,590","8,280","8,280","7,950","0,07K","-4,29%"
"07. Aug. 2020","7,930","7,550","8,300","7,550","0,11K","-0,13%"
"06. Aug. 2020","7,940","7,750","7,950","7,750","0,05K","8,47%"
"05. Aug. 2020","7,320","7,370","7,410","7,280","0,23K","-0,54%"
"04. Aug. 2020","7,360","7,180","7,420","7,130","0,57K","8,24%"
"03. Aug. 2020","6,800","6,330","7,000","6,330","0,26K","12,86%"
"31. Juli 2020","6,025","6,000","6,000","6,000","0,03K","15,31%"
"30. Juli 2020","5,225","5,190","5,430","5,130","0,17K","0,97%"
"29. Juli 2020","5,175","5,150","5,220","5,055","1,08K","4,33%"
"28. Juli 2020","4,960","4,780","4,970","4,780","0,18K","3,55%"
"27. Juli 2020","4,790","4,950","5,010","4,880","0,22K","-4,39%"
"24. Juli 2020","5,010","5,025","5,040","4,895","0,13K","0,50%"
"23. Juli 2020","4,985","4,925","5,125","4,925","0,22K","3,21%"
