"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"31. Dez. 2021","70,345","82,000","82,000","67,365","0,08K","-19,17%"
"30. Dez. 2021","87,027","94,350","94,350","88,050","0,09K","-9,79%"
"29. Dez. 2021","96,476","99,000","104,600","99,000","0,07K","-9,49%"
"28. Dez. 2021","106,590","106,590","106,590","106,590","0,00K","-0,29%"
"27. Dez. 2021","106,895","100,000","105,500","100,000","0,01K","-19,37%"
"23. Dez. 2021","132,580","158,300","158,300","129,360","0,08K","-23,31%"
"22. Dez. 2021","172,875","174,300","176,655","172,720","0,04K","-4,10%"
"21. Dez. 2021","180,265","157,700","174,800","157,700","0,51K","22,69%"
"20. Dez. 2021","146,926","140,820","148,505","139,400","0,41K","7,31%"
"17. Dez. 2021","136,915","124,500","139,500","124,500","0,68K","-4,10%"
"16. Dez. 2021","142,765","128,710","143,000","126,190","0,85K","7,92%"
"15. Dez. 2021","132,284","131,100","132,405","120,600","1,02K","3,10%"
"14. Dez. 2021","128,301","118,950","129,065","116,775","0,64K","10,52%"
"13. Dez. 2021","116,085","115,400","118,625","112,440","0,47K","9,75%"
"10. Dez. 2021","105,775","101,605","107,750","100,830","0,24K","5,31%"
"09. Dez. 2021","100,445","98,500","104,350","97,170","0,42K","-1,04%"
"08. Dez. 2021","101,502","98,600","103,835","98,600","0,36K","5,86%"
"07. Dez. 2021","95,885","95,000","95,880","94,595","0,24K","6,62%"
"06. Dez. 2021","89,928","86,600","90,275","86,600","0,09K","0,50%"
"03. Dez. 2021","89,480","91,590","92,050","89,620","0,09K","-5,64%"
"02. Dez. 2021","94,830","91,600","92,460","89,200","0,17K","-0,88%"
"01. Dez. 2021","95,675","92,600","95,100","92,600","0,29K","3,42%"
"30. Nov. 2021","92,515","98,000","98,000","95,015","0,03K","-0,68%"
"29. Nov. 2021","93,146","94,250","94,250","92,450","0,22K","6,12%"
"26. Nov. 2021","87,772","92,450","94,400","87,750","0,08K","-5,92%"
"25. Nov. 2021","93,300","93,300","93,300","93,300","","-0,73%"
"24. Nov. 2021","93,985","93,850","93,850","93,850","0,01K","3,37%"
"23. Nov. 2021","90,925","86,950","91,400","86,950","0,04K","8,22%"
"22. Nov. 2021","84,015","84,250","86,020","81,950","0,06K","-3,57%"
"19. Nov. 2021","87,125","91,125","91,125","86,000","0,01K","-8,45%"
