"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"01. Juli 2022","190,915","190,915","190,915","190,915","","32,11%"
"01. Juni 2022","144,515","83,005","83,005","80,410","0,03K","53,73%"
"01. Mai 2022","94,005","96,315","96,475","84,840","0,12K","-5,48%"
"01. Apr. 2022","99,450","114,750","114,750","96,750","0,04K","-21,01%"
"01. März 2022","125,905","103,665","148,000","97,600","0,97K","27,70%"
"01. Feb. 2022","98,595","78,300","135,000","68,515","3,24K","16,45%"
"01. Jan. 2022","84,670","85,000","97,020","71,000","1,84K","20,36%"
