,day,month,month_no,year,price
942,27,December,12,2018,23.32
943,28,December,12,2018,22.81
944,31,December,12,2018,21.98
945,02,December,12,2019,15.81
946,03,December,12,2019,15.77
947,04,December,12,2019,15.88
948,05,December,12,2019,15.41
949,06,December,12,2019,15.14
950,09,December,12,2019,14.89
951,10,December,12,2019,14.53
952,11,December,12,2019,14.04
953,12,December,12,2019,14.77
954,13,December,12,2019,13.8
955,16,December,12,2019,13.89
956,17,December,12,2019,14.46
957,18,December,12,2019,14.95
958,19,December,12,2019,15.005
959,20,December,12,2019,14.235
960,23,December,12,2019,13.025
961,24,December,12,2019,12.61
962,26,December,12,2019,12.605
963,27,December,12,2019,12.77
964,30,December,12,2019,12.29
965,31,December,12,2019,12.05
966,01,December,12,2020,14.91
967,02,December,12,2020,14.905
968,03,December,12,2020,14.145
969,04,December,12,2020,14.645
970,07,December,12,2020,14.36
971,08,December,12,2020,14.445
972,09,December,12,2020,14.73
973,10,December,12,2020,15.54
974,11,December,12,2020,15.96
975,14,December,12,2020,16.605
976,15,December,12,2020,17.225
977,16,December,12,2020,16.38
978,17,December,12,2020,15.94
979,18,December,12,2020,15.885
980,21,December,12,2020,16.795
981,22,December,12,2020,17.64
982,23,December,12,2020,17.5
983,24,December,12,2020,17.65
984,28,December,12,2020,19.15
985,29,December,12,2020,18.775
986,30,December,12,2020,19.0
987,31,December,12,2020,19.12
988,01,December,12,2021,95.675
989,02,December,12,2021,94.83
990,03,December,12,2021,89.48
991,06,December,12,2021,89.928
992,07,December,12,2021,95.885
993,08,December,12,2021,101.502
994,09,December,12,2021,100.445
995,10,December,12,2021,105.775
996,13,December,12,2021,116.085
997,14,December,12,2021,128.301
998,15,December,12,2021,132.284
999,16,December,12,2021,142.765
1000,17,December,12,2021,136.915
1001,20,December,12,2021,146.926
1002,21,December,12,2021,180.265
1003,22,December,12,2021,172.875
1004,23,December,12,2021,132.58
1005,27,December,12,2021,106.895
1006,28,December,12,2021,106.59
1007,29,December,12,2021,96.476
1008,30,December,12,2021,87.027
1009,31,December,12,2021,70.345
